p	m2
0.300	0.240
0.310	0.440
0.320	0.720
0.330	0.360
0.340	0.520
0.350	0.640
0.360	0.690
0.370	0.700
0.380	1.020
0.390	0.940
0.400	1.100
0.410	0.940
0.420	1.150
0.430	1.200
0.440	1.020
0.450	1.380
0.460	1.780
0.470	1.670
0.480	1.830
0.490	1.880
0.500	1.560
0.510	2.200
0.520	1.890
0.530	1.380
0.540	1.690
0.550	2.160
0.560	2.040
0.570	2.110
0.580	1.970
0.590	1.800
0.600	1.460
0.610	1.710
0.620	1.700
0.630	1.500
0.640	1.620
0.650	1.870
0.660	1.780
0.670	1.280
0.680	1.350
0.690	0.790
0.700	1.280
0.710	0.920
0.720	0.770
0.730	0.770
0.740	0.700
0.750	0.790
0.760	0.610
0.770	0.380
0.780	0.600
0.790	0.230
0.800	0.220
